offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-9.849624060150377773e+03,4.999999999999999432e+02,-9.469108352027433284e+00,-9.469108352027433284e+00,-4.219479408571332169e+04,-4.219479408571332169e+04,-2.151996924240229419e+03,-2.151996924240229419e+03,-4.219109525930512609e+04,-1.825478139172079795e+00,-2.145549025944605546e+03
-9.899749373433583969e+03,4.999999999999999432e+02,-9.469186078775237547e+00,-9.469186078775237547e+00,-4.219479413168998144e+04,-4.219479413168998144e+04,-2.151996988936891285e+03,-2.151996988936891285e+03,-4.219109513243725814e+04,-1.825320703365796327e+00,-2.145548933447968011e+03
-9.949874686716793803e+03,4.999999999999999432e+02,-9.469262639029693673e+00,-9.469262639029693673e+00,-4.219479417691986600e+04,-4.219479417691986600e+04,-2.151997052874470683e+03,-2.151997052874470683e+03,-4.219109500733867026e+04,-1.825165658167945404e+00,-2.145548842136483472e+03
-1.000000000000000000e+04,4.999999999999999432e+02,-9.469338055923799402e+00,-9.469338055923799402e+00,-4.219479422141840041e+04,-4.219479422141840041e+04,-2.151997116064603688e+03,-2.151997116064603688e+03,-4.219109488397619134e+04,-1.825012955415953986e+00,-2.145548751990479559e+03
1.000000000000000000e+04,8.000000000000000000e+02,-9.457624334338106564e+00,-9.457624334338106564e+00,-4.219479204061612836e+04,-4.219479204061612836e+04,-2.151957451989677793e+03,-2.151957451989677793e+03,-4.219111344922497665e+04,-1.849129403434120800e+00,-2.145613187491256213e+03
9.949874686716791985e+03,8.000000000000000000e+02,-9.457431286809878657e+00,-9.457431286809878657e+00,-4.219479197214586020e+04,-4.219479197214586020e+04,-2.151956847804012796e+03,-2.151956847804012796e+03,-4.219111371744707139e+04,-1.849539410365949488e+00,-2.145614240669088304e+03
9.899749373433583969e+03,8.000000000000000000e+02,-9.457235320089466768e+00,-9.457235320089466768e+00,-4.219479190247054794e+04,-4.219479190247054794e+04,-2.151956231775278866e+03,-2.151956231775278866e+03,-4.219111398900600034e+04,-1.849956045525017911e+00,-2.145615315816621205e+03
9.849624060150375954e+03,8.000000000000000000e+02,-9.457036375169991516e+00,-9.457036375169991516e+00,-4.219479183156196086e+04,-4.219479183156196086e+04,-2.151955603585691279e+03,-2.151955603585691279e+03,-4.219111426395944000e+04,-1.850379456702213377e+00,-2.145616413538106372e+03
9.799498746867167938e+03,8.000000000000000000e+02,-9.456834391508891713e+00,-9.456834391508891713e+00,-4.219479175939122797e+04,-4.219479175939122797e+04,-2.151954962906725996e+03,-2.151954962906725996e+03,-4.219111454236665304e+04,-1.850809795997198304e+00,-2.145617534458395767e+03
9.749373433583959923e+03,8.000000000000000000e+02,-9.456629307035655074e+00,-9.456629307035655074e+00,-4.219479168592850328e+04,-4.219479168592850328e+04,-2.151954309398493933e+03,-2.151954309398493933e+03,-4.219111482428832096e+04,-1.851247219871170469e+00,-2.145618679223787240e+03
9.699248120300751907e+03,8.000000000000000000e+02,-9.456421058068372076e+00,-9.456421058068372076e+00,-4.219479161114305316e+04,-4.219479161114305316e+04,-2.151953642709451742e+03,-2.151953642709451742e+03,-4.219111510978661681e+04,-1.851691889441221095e+00,-2.145619848502887635e+03
9.649122807017543892e+03,8.000000000000000000e+02,-9.456209579299411416e+00,-9.456209579299411416e+00,-4.219479153500329994e+04,-4.219479153500329994e+04,-2.151952962475701497e+03,-2.151952962475701497e+03,-4.219111539892519795e+04,-1.852143970552217578e+00,-2.145621042987544570e+03
9.598997493734335876e+03,8.000000000000000000e+02,-9.455994803773137392e+00,-9.455994803773137392e+00,-4.219479145747680741e+04,-4.219479145747680741e+04,-2.151952268320698749e+03,-2.151952268320698749e+03,-4.219111569176945341e+04,-1.852603634018188172e+00,-2.145622263393817320e+03
9.548872180451127861e+03,8.000000000000000000e+02,-9.455776662672633393e+00,-9.455776662672633393e+00,-4.219479137853035354e+04,-4.219479137853035354e+04,-2.151951559854489460e+03,-2.151951559854489460e+03,-4.219111598838623468e+04,-1.853071055749063500e+00,-2.145623510462971808e+03
9.498746867167919845e+03,8.000000000000000000e+02,-9.455555085571177187e+00,-9.455555085571177187e+00,-4.219479129812920291e+04,-4.219479129812920291e+04,-2.151950836673316644e+03,-2.151950836673316644e+03,-4.219111628884428501e+04,-1.853546416979867661e+00,-2.145624784962547892e+03
9.448621553884711830e+03,8.000000000000000000e+02,-9.455329999927926110e+00,-9.455329999927926110e+00,-4.219479121623810352e+04,-4.219479121623810352e+04,-2.151950098358920513e+03,-2.151950098358920513e+03,-4.219111659321396291e+04,-1.854029904488850411e+00,-2.145626087687478048e+03
9.398496240601503814e+03,8.000000000000000000e+02,-9.455101331590412883e+00,-9.455101331590412883e+00,-4.219479113282059552e+04,-4.219479113282059552e+04,-2.151949344478017338e+03,-2.151949344478017338e+03,-4.219111690156751865e+04,-1.854521710722903727e+00,-2.145627419461241061e+03
9.348370927318295799e+03,8.000000000000000000e+02,-9.454869004204738303e+00,-9.454869004204738303e+00,-4.219479104783917137e+04,-4.219479104783917137e+04,-2.151948574581481353e+03,-2.151948574581481353e+03,-4.219111721397913061e+04,-1.855022034144933052e+00,-2.145628781137098031e+03
